job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
数据分析师-北京-16456,优信集团,民营公司 ,10000人以上 ,"互联网/电子商务,汽车及零配件",北京-朝阳区,1.5,2千/月,3-4年经验,本科,['通讯补贴', '绩效奖金', '定期体检', '弹性工作', '七险一金'],,,,,
金融数据分析师,北京中辉时代商务咨询有限公司,民营公司 ,50-150人 ,金融/投资/证券,北京-朝阳区,1.5,2千/月,无工作经验,,['五险一金', '专业培训', '绩效奖金', '年终奖金', '员工旅游', '通讯补贴', '弹性工作', '周末双休', '节日假期', '早九晚五']
高级数据分析师,达内时代科技集团有限公司,上市公司 ,5000-10000人 ,教育/培训/院校,北京,2,3千/月,3-4年经验,本科,['弹性工作', '带薪年假', '五险一金', '绩效奖金', '专业培训', '通讯补贴', '加班补贴', '餐饮补贴'],,
运营规划管理部_高级用户数据分析师,百度在线网络技术（北京）有限公司,外资（欧美） ,500-1000人 ,互联网/电子商务,北京-海淀区,2,3千/月,3-4年经验,本科,,,,,,,,,,
数据分析实习生（金服）,敦煌网,外资（非欧美） ,500-1000人 ,"互联网/电子商务,贸易/进出口",北京-海淀区,2,3千/月,无工作经验,本科,['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '专业培训'],,,,,
商业分析/策略运营/数据分析,美团-大众点评,合资 ,10000人以上 ,"互联网/电子商务,计算机软件",北京,1.5,2千/月,无工作经验,本科,['五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '年终奖金', '弹性工作'],,,
数据分析专家-传媒综合管理部020,网易集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,5,7万/月,5-7年经验,,,,,,,,,,,
高底薪高提成，上不封顶，诚聘交易员,北京中辉时代商务咨询有限公司,民营公司 ,50-150人 ,金融/投资/证券,北京-朝阳区,2,3万/年,5-7年经验,大专,['五险一金', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '做五休二', '交通补贴', '股票期权', '员工旅游']
高薪招聘  交易员,北京中辉时代商务咨询有限公司,民营公司 ,50-150人 ,金融/投资/证券,北京-朝阳区,2,3万/年,无工作经验,本科,['五险一金', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '做五休二', '交通补贴', '股票期权', '员工旅游']
18000诚招交易员,北京中辉时代商务咨询有限公司,民营公司 ,50-150人 ,金融/投资/证券,北京-朝阳区,2,3千/月,5-7年经验,本科,['五险一金', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '做五休二', '股票期权'],,
数据分析1003,北京TMO管理咨询有限公司,民营公司 ,500-1000人 ,"专业服务(咨询、人力资源、财会),外包服务",异地招聘,2,5千/月,2年经验,大专,,,,,,,,,,
数据分析1001,北京TMO管理咨询有限公司,民营公司 ,500-1000人 ,"专业服务(咨询、人力资源、财会),外包服务",异地招聘,2,5千/月,2年经验,大专,,,,,,,,,,
数据分析1004,北京TMO管理咨询有限公司,民营公司 ,500-1000人 ,"专业服务(咨询、人力资源、财会),外包服务",异地招聘,2,5千/月,2年经验,大专,,,,,,,,,,
数据分析1004,北京TMO管理咨询有限公司,民营公司 ,500-1000人 ,"专业服务(咨询、人力资源、财会),外包服务",异地招聘,2,5千/月,2年经验,大专,,,,,,,,,,
数据分析实习生(J11322),便利蜂,外资（非欧美） ,1000-5000人 ,互联网/电子商务,北京-朝阳区,2,3千/月,无工作经验,,['五险一金', '绩效奖金', '节日福利', '专业培训'],,,,,,
金融数据分析,富尔华兴（北京）国际投资管理有限公司,合资 ,500-1000人 ,"金融/投资/证券,互联网/电子商务",北京-朝阳区,1.5,2千/月,3-4年经验,高中,['五险一金', '员工旅游', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '股票期权', '弹性工作', '定期体检']
数据分析/处理实习生,房天下（北京）,外资（欧美） ,10000人以上 ,"互联网/电子商务,房地产",北京-丰台区,1.5,2千/月,无工作经验,本科,,,,,,,,,,
数据分析算法实习生(J10087),小猪短租,合资 ,150-500人 ,"互联网/电子商务,生活服务",北京-海淀区,2,3千/月,无工作经验,,['做五休二', '带薪年假', '绩效奖金', '节日福利'],,,,,,
数据分析专员,天津狮桥国际物流有限公司,外资（欧美） ,500-1000人 ,交通/运输/物流,北京-大兴区,2.5,3.5千/月,无工作经验,大专,['五险一金', '通讯补贴', '绩效奖金', '弹性工作', '节日福利'],,,,,
销售数据分析专员,厦门易帆人力资源咨询服务有限公司,民营公司 ,少于50人 ,专业服务(咨询、人力资源、财会),北京,4.5,6千/月,无工作经验,本科,,,,,,,,,,
数据分析岗,阳光保险集团股份有限公司,国企 ,10000人以上 ,"保险,金融/投资/证券",北京-通州区,0.8,1万/月,无工作经验,,['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '高温补贴', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训']
数据分析岗,阳光保险集团股份有限公司,国企 ,10000人以上 ,"保险,金融/投资/证券",北京-通州区,0.8,1万/月,无工作经验,,['五险一金', '餐饮补贴', '通讯补贴', '交通补贴', '定期体检', '员工旅游'],,,,
风险政策专员/数据分析专员/SAS1641,宜信公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,1,1.5万/月,,,,,,,,,,,,
风险模型专员/数据分析/SAS,宜信公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,1,1.5万/月,,,,,,,,,,,,
数据分析专员/SAS(10022794),宜信公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,1.2,1.7万/月,,,,,,,,,,,,
数据分析专员/风险政策专员/SAS,宜信公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,1,1.5万/月,,,,,,,,,,,,
数据分析3206,宜信公司,#VALUE!,#VALUE!,#VALUE!,异地招聘,6,8千/月,,,,,,,,,,,,
数据分析专员3961,宜信公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,6,8千/月,,,,,,,,,,,,
商家-高级数据安全专家-数据业务-北京,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,2年经验,本科,,,,,,,,,,
YunOS-高级数据产品专家（北京、杭州）,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,5-7年经验,本科,,,,,,,,,,
集团安全-数据分析/运营专家-北京/杭州,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,3-4年经验,本科,,,,,,,,,,
高德-数据分析产品专家-昌平,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,5-7年经验,本科,,,,,,,,,,
云零售-数据产品经理-技术,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,3-4年经验,本科,,,,,,,,,,
阿里文学-数据分析工程师,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,3-4年经验,本科,,,,,,,,,,
商业智能部-数据分析专家-望京,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,5-7年经验,本科,,,,,,,,,,
高德-资深数据分析与挖掘高级工程师/专家,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,3-4年经验,本科,,,,,,,,,,
高德-高级前端数据可视化工程师/专家,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,3-4年经验,本科,,,,,,,,,,
数据技术及产品部-高级数据技术专家-北京,阿里巴巴集团,上市公司 ,10000人以上 ,互联网/电子商务,北京,,,5-7年经验,本科,,,,,,,,,,
Senior Specialist Data Analytics 高级数据分析专员,华晨宝马汽车有限公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,,,,,,,,,,,,,,
Manager Business Data Analyst,华晨宝马汽车有限公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,,,,,,,,,,,,,,
Manager Customer Reporting(Data Scientist)/数据分析报告经理,华晨宝马汽车有限公司,#VALUE!,#VALUE!,#VALUE!,北京-朝阳区,,,,,,,,,,,,,,
供应链数据分析与管理,绫致时装（天津）有限公司,外资（欧美） ,5000-10000人 ,"服装/纺织/皮革,批发/零售",北京,,,3-4年经验,本科,['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '定期体检', '弹性工作']
